target_id,pdb_id,chain_id,model,rank,output_pdb,success,return_code,inference_time_sec,inference_time_sec_per_prediction,prediction_count,trials_run,max_trials,successful_trial,command,error_message
7UYX_chainA,7UYX,A,boltz2,2,data/predictions/7UYX_chainA/boltz2/rank_002.pdb,true,0,49.812333,9.962467,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7UYX_chainA.fasta data/predictions/7UYX_chainA/boltz2 5,
7UYX_chainA,7UYX,A,boltz2,3,data/predictions/7UYX_chainA/boltz2/rank_003.pdb,true,0,49.812333,9.962467,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7UYX_chainA.fasta data/predictions/7UYX_chainA/boltz2 5,
7UYX_chainA,7UYX,A,boltz2,4,data/predictions/7UYX_chainA/boltz2/rank_004.pdb,true,0,49.812333,9.962467,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7UYX_chainA.fasta data/predictions/7UYX_chainA/boltz2 5,
7UYX_chainA,7UYX,A,boltz2,5,data/predictions/7UYX_chainA/boltz2/rank_005.pdb,true,0,49.812333,9.962467,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7UYX_chainA.fasta data/predictions/7UYX_chainA/boltz2 5,
7UYX_chainA,7UYX,A,chai1,1,data/predictions/7UYX_chainA/chai1/rank_001.pdb,true,0,160.246095,32.049219,5,1,5,1,bash runners/run_chai1.sh data/sequences/7UYX_chainA.fasta data/predictions/7UYX_chainA/chai1 5,
7UYX_chainA,7UYX,A,chai1,2,data/predictions/7UYX_chainA/chai1/rank_002.pdb,true,0,160.246095,32.049219,5,1,5,1,bash runners/run_chai1.sh data/sequences/7UYX_chainA.fasta data/predictions/7UYX_chainA/chai1 5,
7UYX_chainA,7UYX,A,chai1,3,data/predictions/7UYX_chainA/chai1/rank_003.pdb,true,0,160.246095,32.049219,5,1,5,1,bash runners/run_chai1.sh data/sequences/7UYX_chainA.fasta data/predictions/7UYX_chainA/chai1 5,
7UYX_chainA,7UYX,A,chai1,4,data/predictions/7UYX_chainA/chai1/rank_004.pdb,true,0,160.246095,32.049219,5,1,5,1,bash runners/run_chai1.sh data/sequences/7UYX_chainA.fasta data/predictions/7UYX_chainA/chai1 5,
7UYX_chainA,7UYX,A,chai1,5,data/predictions/7UYX_chainA/chai1/rank_005.pdb,true,0,160.246095,32.049219,5,1,5,1,bash runners/run_chai1.sh data/sequences/7UYX_chainA.fasta data/predictions/7UYX_chainA/chai1 5,
7UYX_chainA,7UYX,A,esmfold,1,data/predictions/7UYX_chainA/esmfold/rank_001.pdb,true,0,23.226194,23.226194,1,1,5,1,bash runners/run_esmfold.sh data/sequences/7UYX_chainA.fasta data/predictions/7UYX_chainA/esmfold 5,
7UYX_chainA,7UYX,A,omegafold,1,data/predictions/7UYX_chainA/omegafold/rank_001.pdb,true,0,41.885205,41.885205,1,1,5,1,bash runners/run_omegafold.sh data/sequences/7UYX_chainA.fasta data/predictions/7UYX_chainA/omegafold 5,
7UTD_chainA,7UTD,A,colabfold,1,data/predictions/7UTD_chainA/colabfold/rank_001.pdb,true,0,153.560626,30.712125,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/colabfold 5,
7UTD_chainA,7UTD,A,colabfold,2,data/predictions/7UTD_chainA/colabfold/rank_002.pdb,true,0,153.560626,30.712125,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/colabfold 5,
7UTD_chainA,7UTD,A,colabfold,3,data/predictions/7UTD_chainA/colabfold/rank_003.pdb,true,0,153.560626,30.712125,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/colabfold 5,
7UTD_chainA,7UTD,A,colabfold,4,data/predictions/7UTD_chainA/colabfold/rank_004.pdb,true,0,153.560626,30.712125,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/colabfold 5,
7UTD_chainA,7UTD,A,colabfold,5,data/predictions/7UTD_chainA/colabfold/rank_005.pdb,true,0,153.560626,30.712125,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/colabfold 5,
7UTD_chainA,7UTD,A,openfold,1,data/predictions/7UTD_chainA/openfold/rank_001.pdb,true,0,231.652526,231.652526,1,1,5,1,bash runners/run_openfold.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/openfold 5,
7UTD_chainA,7UTD,A,boltz2,1,data/predictions/7UTD_chainA/boltz2/rank_001.pdb,true,0,234.266493,46.853299,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/boltz2 5,
7UTD_chainA,7UTD,A,boltz2,2,data/predictions/7UTD_chainA/boltz2/rank_002.pdb,true,0,234.266493,46.853299,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/boltz2 5,
7UTD_chainA,7UTD,A,boltz2,3,data/predictions/7UTD_chainA/boltz2/rank_003.pdb,true,0,234.266493,46.853299,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/boltz2 5,
7UTD_chainA,7UTD,A,boltz2,4,data/predictions/7UTD_chainA/boltz2/rank_004.pdb,true,0,234.266493,46.853299,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/boltz2 5,
7UTD_chainA,7UTD,A,boltz2,5,data/predictions/7UTD_chainA/boltz2/rank_005.pdb,true,0,234.266493,46.853299,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/boltz2 5,
7UTD_chainA,7UTD,A,chai1,1,data/predictions/7UTD_chainA/chai1/rank_001.pdb,true,0,397.666727,79.533345,5,1,5,1,bash runners/run_chai1.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/chai1 5,
7UTD_chainA,7UTD,A,chai1,2,data/predictions/7UTD_chainA/chai1/rank_002.pdb,true,0,397.666727,79.533345,5,1,5,1,bash runners/run_chai1.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/chai1 5,
7UTD_chainA,7UTD,A,chai1,3,data/predictions/7UTD_chainA/chai1/rank_003.pdb,true,0,397.666727,79.533345,5,1,5,1,bash runners/run_chai1.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/chai1 5,
7UTD_chainA,7UTD,A,chai1,4,data/predictions/7UTD_chainA/chai1/rank_004.pdb,true,0,397.666727,79.533345,5,1,5,1,bash runners/run_chai1.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/chai1 5,
7UTD_chainA,7UTD,A,chai1,5,data/predictions/7UTD_chainA/chai1/rank_005.pdb,true,0,397.666727,79.533345,5,1,5,1,bash runners/run_chai1.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/chai1 5,
7UTD_chainA,7UTD,A,esmfold,,,false,1,185.971951,,0,5,5,,bash runners/run_esmfold.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/esmfold 5,exit code 1; see logs/20260515_7UTD_chainA_esmfold.log
7UTD_chainA,7UTD,A,omegafold,1,data/predictions/7UTD_chainA/omegafold/rank_001.pdb,true,0,530.269662,530.269662,1,1,5,1,bash runners/run_omegafold.sh data/sequences/7UTD_chainA.fasta data/predictions/7UTD_chainA/omegafold 5,
