model,input_mode,n_total_targets,n_yes_targets,n_check_targets,n_no_targets,n_success_all,n_success_yes,n_success_yes_check,n_failed,mean_lddt_ca_yes,mean_gdt_ts_yes,mean_tm_score_yes,mean_lddt_ca_yes_check,mean_gdt_ts_yes_check,mean_tm_score_yes_check,mean_lddt_ca_all,mean_gdt_ts_all,mean_tm_score_all,median_lddt_ca_yes,median_gdt_ts_yes,median_tm_score_yes,mean_runtime_sec_all,mean_runtime_sec_yes,mean_carbon_emissions_g_all,mean_carbon_emissions_g_yes,total_carbon_emissions_g_all,total_energy_consumed_kwh_all
boltz,MSA-free workflow,71,20,45,6,9,2,7,62,0.43604580954636163,0.2114,0.523655,0.34907038085346087,0.2819857142857143,0.5209,0.40344811173564715,0.33496666666666663,0.5061977777777779,0.43604580954636163,0.2114,0.523655,,,,,,
boltz2,MSA-free workflow,71,20,45,6,9,2,7,62,0.43844111898719407,0.2,0.52755,0.35313129258707,0.29008571428571434,0.5369471428571428,0.39891135181089354,0.31085555555555555,0.5098022222222222,0.43844111898719407,0.2,0.52755,,,,,,
chai1,MSA-free workflow,71,20,45,6,9,2,7,62,0.3989720553487869,0.2739,0.5084,0.35904370407900454,0.4697571428571429,0.7238157142857143,0.3829861252866211,0.48131111111111113,0.6720966666666667,0.3989720553487869,0.2739,0.5084,,,,,,
colabfold,MSA-based,71,20,45,6,9,2,7,62,0.34638938865123364,0.21085,0.37861,0.28153610600832885,0.16998571428571427,0.3367342857142857,0.34080237441297234,0.2516666666666667,0.3789677777777778,0.34638938865123364,0.21085,0.37861,,,,,,
esmfold,single-sequence / MSA-free,71,20,45,6,9,2,7,62,0.42594700674529024,0.27885,0.66572,0.3650275982454083,0.4709857142857143,0.7698200000000001,0.4059063363914633,0.5016555555555555,0.7192433333333333,0.42594700674529024,0.27885,0.66572,,,,,,
omegafold,single-sequence / MSA-free,71,20,45,6,9,2,7,62,0.38013653807545594,0.21195,0.442965,0.3523599952491669,0.2768857142857143,0.6734685714285715,0.3989146381417502,0.31487777777777776,0.6418933333333334,0.38013653807545594,0.21195,0.442965,,,,,,
openfold,MSA-based,71,20,45,6,9,2,7,62,0.38138698421523154,0.20385,0.487885,0.2920576164860296,0.1661,0.3542842857142857,0.3486044185079329,0.2577777777777778,0.40019111111111116,0.38138698421523154,0.20385,0.487885,,,,,,
