model,input_mode,n_total_targets,n_yes_targets,n_check_targets,n_no_targets,n_success_all,n_success_yes,n_success_yes_check,n_failed,mean_lddt_ca_yes,mean_gdt_ts_yes,mean_tm_score_yes,mean_lddt_ca_yes_check,mean_gdt_ts_yes_check,mean_tm_score_yes_check,mean_lddt_ca_all,mean_gdt_ts_all,mean_tm_score_all,median_lddt_ca_yes,median_gdt_ts_yes,median_tm_score_yes,mean_runtime_sec_all,mean_runtime_sec_yes,mean_carbon_emissions_g_all,mean_carbon_emissions_g_yes,total_carbon_emissions_g_all,total_energy_consumed_kwh_all
chai1,MSA-free workflow,63,15,43,5,63,15,58,0,0.46431305132520984,0.2115788560451722,,0.481371839535435,0.2574050988301344,,0.47808287348968115,0.24512918643733964,,0.4390095280301351,0.0309187279151943,,1589.968253968254,1183.0,22.245503246236968,16.60150207905075,1401.466704512929,2.950456220027219
esmfold,single-sequence / MSA-free,63,15,43,5,63,15,58,0,0.48026046723319943,0.2480822664472893,,0.48690335078646024,0.290645022272655,,0.48429847819934413,0.28112665626322825,,0.4288433382137628,0.0357142857142857,,428.8253968253968,316.06666666666666,6.198118023150135,4.5951412227638775,390.4814354584585,0.8220661799125442
omegafold,single-sequence / MSA-free,63,15,43,5,60,15,55,3,0.4447042170983662,0.20501188057820816,,0.4788990963336719,0.26294339530098154,,0.476148889247524,0.252500160087896,,0.4290937292266785,0.0369897959183673,,113.23809523809524,105.53333333333333,3.6681769892551586,3.3671775864699915,231.095150323075,0.4865161059433158
