model,target_id,n_reps,mean_total_runtime_sec,std_total_runtime_sec,cv_total_runtime_sec,min_total_runtime_sec,max_total_runtime_sec,mean_inference_runtime_sec,std_inference_runtime_sec,cv_inference_runtime_sec,flagged_unstable
af2,T1106s2,3,1475.4855056666665,2369.3262187345026,1.605794302712566,107.384461,4211.347759,108.19102966666667,1.1157259254966385,0.010312554829491472,False
af2,T1137s7,3,2877.244012333333,4585.161835172542,1.5935950567689787,228.52469,8171.732578,234.04840333333334,7.165962667549578,0.030617438809628472,False
af2,T1133,3,2279.0189090000003,3593.4573473023643,1.5767562669671398,204.236399,6428.386041000001,208.48240833333332,7.183609298391817,0.03445666881834107,False
af2,T1266,3,1229.7240676666665,1918.638860438587,1.560219004316227,121.799635,3445.177381,123.32273766666667,2.3040372536722042,0.018682988208548103,False
af2,T1134s1,3,1060.9751063333333,1641.2886556142169,1.5469624554023822,113.091501,2956.171972,114.46644066666666,1.9089527986281798,0.016676964772471332,False
af2,T1299,3,495.2796203333334,687.3601681676391,1.3878224339314256,98.232122,1288.974743,99.535881,1.9223017003116356,0.019312650684346035,False
af2,T1185s4,3,567.1053106666667,784.8020861055015,1.383873632188207,113.917062,1473.316697,115.78979700000001,3.1017806720077714,0.026788031004215087,False
af2,T1159,3,439.1019646666666,597.055950704084,1.359720517664557,93.460286,1128.521953,96.037201,2.9980637421394194,0.03121773345038887,False
af2,T1194,3,445.5620913333334,602.6091601325363,1.3524695476880528,96.820936,1141.394561,98.742433,2.0707326945738305,0.020971051974927844,False
af2,T1183,3,464.1571676666667,627.1711942996837,1.3512043721149325,101.922313,1188.352066,103.15250066666665,1.8977351930088477,0.018397374573994152,False
af2,T1157s2,3,765.8812366666666,1033.7406824925813,1.3497401855563342,168.535579,1959.542011,171.35440566666668,4.023010903183626,0.0234777208530578,False
af2,T1151s2,3,438.46645966666665,588.2461073906933,1.341598871297688,98.480541,1117.714428,99.66877566666666,1.476249463536002,0.014811554106706265,False
af2,T1155,3,441.78317799999996,592.3336344441531,1.3407790607277335,99.398453,1125.750988,100.57524599999999,1.402518792240228,0.01394497004004572,False
af2,T1137s1,3,657.1944763333333,879.5631521195274,1.338360536787907,149.030207,1672.826442,151.16156,3.107938531623332,0.020560376140755173,False
af2,T1272s7,3,502.7215903333334,672.4029720512808,1.3375255508828234,113.61076,1279.14497,116.21467133333333,3.0866137466959365,0.026559587625926685,False
af2,T1272s9,3,504.3856186666667,674.5495685257096,1.3373687582704437,114.623618,1283.288286,115.82317433333333,1.5706325877271075,0.013560607337586043,False
af2,T1137s2,3,589.7213603333333,787.9721660894263,1.336177081399992,133.84623,1499.592598,136.76561933333335,3.55561957518045,0.0259979049743085,False
af2,T1137s3,3,746.2832023333334,992.5154159149519,1.3299447352047418,172.357015,1892.340819,175.64457700000003,4.236061070157996,0.02411723232512892,False
