rep,model,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,measured_energy_kwh,n_files,gpu_share_pct
rep1,af2,0.9740334572753929,1.5761833552153137,2.141188436030341,4.691405248521055,90,33.59725437729349
rep1,boltz2,0.0074656510381302,0.0877796857792456,0.028862934886316,0.1241082717036959,45,70.7283121215477
rep1,chai1,0.016693591928631,0.3013717374860874,0.0697850512998067,0.3878503807145296,45,77.70309182909124
rep1,colabfold,0.0825944687367235,0.7290635993615215,0.2876664176945272,1.0993244857927815,90,66.31923592930445
rep1,esmfold,0.0086759564000083,0.1102864826735577,0.0311440532382695,0.1501064923118402,45,73.47216031432232
rep1,omegafold,0.012638556015701243,0.3134697316089173,0.0530123362753904,0.3791206239000132,45,82.68337617306551
rep1,openfold,0.008141135212219689,0.1866964913015177,0.0327473051357123,0.227584931649453,45,82.03376644860096
rep1,protenix,0.009382257775035801,0.1043122662275178,0.0395228797433168,0.1532174037458742,45,68.08121249759088
rep2,af2,0.072607327930958,0.2088584701827527,0.1467385306535532,0.4282043287672679,45,48.77542242135313
rep2,boltz2,0.0337184457874937,0.105275946889164,0.0745113279434092,0.2135057206200714,45,49.30825580851877
rep2,chai1,0.0627702487395846,0.2605961734337173,0.1388352970157703,0.4622017191890773,45,56.38148077227632
rep2,colabfold,0.0804858823554588,0.3157828312371697,0.2806483879476248,0.6769171015402625,90,46.65014822622139
rep2,esmfold,0.0299742700598284,0.0783157646631931,0.0662844726562603,0.17457450737928631,45,44.860939800931945
rep2,omegafold,0.0570459209016607,0.2894442335329515,0.1261450766136889,0.4726352310483053,45,61.24051160785592
rep2,openfold,0.035027078210643,0.1709009941936739,0.0774443187067309,0.2833723911110527,45,60.30968420162758
rep2,protenix,0.0492035710824838,0.0864032914412165,0.10881340729447961,0.244420269818184,45,35.350297054123395
rep3,af2,0.072757170452838,0.2415202456868056,0.1467150670730272,0.4609924832126749,45,52.39136308766762
rep3,boltz2,0.0338696147309389,0.1174383413211133,0.0749168049299079,0.22622476098196462,45,51.91224020366109
rep3,chai1,0.0626855696979474,0.26145633150422287,0.1386459143967636,0.4627878155989388,45,56.495941053644536
rep3,colabfold,0.0841392067136677,0.3264340400359104,0.2931193024998061,0.7036925492493928,90,46.388730473857024
rep3,esmfold,0.0301743783420966,0.0791528664146435,0.0667310913278375,0.1760583360845815,45,44.95831789334805
rep3,omegafold,0.0568524596984163,0.2914366288989545,0.1257139840170273,0.4740030726144028,45,61.484122305687755
rep3,openfold,0.0353052255541065,0.1823494323954453,0.0780596034059694,0.2957142613555254,45,61.66406434359162
rep3,protenix,0.0498891325698935,0.1051612451480172,0.1103500517079971,0.2654004294259122,45,39.62361529538339
