rep,model,total_runtime_sec,inference_runtime_sec,msa_build_runtime_sec,total_energy_kwh,inference_energy_kwh,total_co2_g,inference_co2_g,n_targets,per_target_total_runtime_sec,per_target_total_co2_g
rep1,af2,77832.353516,6435.122903,71397.230613,4.427346724663353,0.4838907225566656,2102.989694215094,229.84809321441705,45,1729.607855911111,46.73310431589098
rep1,boltz2,26441.80530404742,3002.8053040474188,23439.0,0.9019913599104451,0.1241082717036959,428.4458959574626,58.951429059256704,45,587.595673423276,9.521019910165835
rep1,chai1,7283.499729923671,7283.499729923671,0.0,0.3878503807145296,0.3878503807145296,184.2289308394025,184.2289308394025,45,161.85554955385936,4.093976240875611
rep1,colabfold,30126.0,6687.0,23439.0,1.0993244857927833,0.3214413975860343,522.1791307515731,152.6846638533672,45,669.4666666666667,11.603980683368292
rep1,esmfold,3235.368569491897,3235.368569491897,0.0,0.1501064923118402,0.1501064923118402,71.30058384812523,71.30058384812523,45,71.89707932204215,1.5844574188472274
rep1,omegafold,5535.0185322893085,5535.0185322893085,0.0,0.3791206239000132,0.3791206239000132,180.08229635250723,180.08229635250723,45,123.0004118286513,4.001828807833494
rep1,openfold,26853.85283227556,3414.852832275559,23439.0,1.005468019856202,0.227584931649453,477.5973094316971,108.10284253349121,45,596.7522851616791,10.613273542926603
rep1,protenix,27554.649000993115,4115.649000993115,23439.0,0.9311004919526236,0.1532174037458742,442.27273367749723,72.77826677929131,45,612.3255333554025,9.828282970611049
rep2,af2,6208.71216,6208.71216,0.0,0.4282043287672679,0.4282043287672679,203.39705616445337,203.39705616445337,45,137.97138133333334,4.519934581432297
rep2,boltz2,26005.35518293603,2940.3551829360295,23065.0,0.6745811651426431,0.2135057206200714,320.4260534427566,101.41521729453511,45,577.8967818430228,7.120578965394591
rep2,chai1,5390.466819164976,5390.466819164976,0.0,0.4622017191890773,0.4622017191890773,219.54581661481268,219.54581661481268,45,119.78815153699946,4.878795924773615
rep2,colabfold,29463.0,6398.0,23065.0,0.6769171015402647,0.2158416570176932,321.5356232316268,102.52478708340533,45,654.7333333333333,7.145236071813929
rep2,esmfold,2612.233443960027,2612.233443960027,0.0,0.17457450737928631,0.17457450737928631,82.92289100516192,82.92289100516192,45,58.04963208800061,1.8427309112258203
rep2,omegafold,4905.39577980198,4905.39577980198,0.0,0.4726352310483053,0.4726352310483053,224.50173474794607,224.50173474794607,45,109.00879510671066,4.9889274388432465
rep2,openfold,26108.09155356686,3043.091553566861,23065.0,0.744447835633624,0.2833723911110527,353.61272192597244,134.60188577775097,45,580.1798123014858,7.858060487243832
rep2,protenix,27306.318647877,4241.318647877,23065.0,0.7054957143407558,0.244420269818184,335.11046431185997,116.0996281636385,45,606.8070810639333,7.446899206930222
rep3,af2,6221.682735,6221.682735,0.0,0.4609924832126749,0.4609924832126749,218.97142952602158,218.97142952602158,45,138.25961633333333,4.866031767244924
rep3,boltz2,27217.523099833954,2953.523099833954,24264.0,0.7105369738979422,0.22622476098196462,337.5050626015237,107.4567614664342,45,604.8338466629767,7.500112502256083
rep3,chai1,5383.323321136981,5383.323321136981,0.0,0.4627878155989388,0.4627878155989388,219.82421240949694,219.82421240949694,45,119.62940713637735,4.884982497988821
rep3,colabfold,30738.0,6474.0,24264.0,0.703692549249395,0.2193803363334173,334.25396089346367,104.2056597583742,45,683.0666666666667,7.427865797632526
rep3,esmfold,2629.2758936879545,2629.2758936879545,0.0,0.1760583360845815,0.1760583360845815,83.6277096401773,83.6277096401773,45,58.428353193065654,1.8583935475594955
rep3,omegafold,4889.168774509948,4889.168774509948,0.0,0.4740030726144028,0.4740030726144028,225.1514594918425,225.1514594918425,45,108.64819498910995,5.0033657664853886
rep3,openfold,27329.06160815801,3065.0616081580083,24264.0,0.7800264742715033,0.2957142613555254,370.5125752789651,140.46427414387557,45,607.3124801812891,8.233612783977001
rep3,protenix,28564.114340527944,4300.114340527944,24264.0,0.74971264234189,0.2654004294259122,356.11350511239885,126.06520397730938,45,634.7580964561765,7.913633446942197
