model,n_reps,mean_cpu_energy_kwh,std_cpu_energy_kwh,cv_cpu_energy_kwh,mean_gpu_energy_kwh,std_gpu_energy_kwh,cv_gpu_energy_kwh,mean_ram_energy_kwh,std_ram_energy_kwh,cv_ram_energy_kwh,mean_measured_energy_kwh,std_measured_energy_kwh,cv_measured_energy_kwh,mean_gpu_share_pct,std_gpu_share_pct,cv_gpu_share_pct,mean_wall_time_sec,std_wall_time_sec,cv_wall_time_sec
af2,3,0.37313265188639627,0.5203953680146027,1.3946658524353477,0.675520690361624,0.7801676901735816,1.1549130934182597,0.8115473445856404,1.1515029631665414,1.418898072735948,1.860200686833666,2.4519498808820694,1.31811040509594,44.92134662877141,9.972214183197405,0.2219927702881988,31607.353370984394,44081.59635720041,1.3946626862364058
colabfold,3,0.08240651926861667,0.0018338997978329847,0.02225430480633586,0.45709349021153395,0.2355932241502517,0.5154158376686216,0.28714470271398607,0.00625180512593304,0.02177231572389558,0.8266447121941457,0.23652679625648884,0.28612872346171636,53.11937154312762,11.43216513484683,0.2152164982894245,29914.395627743317,635.7327204232015,0.021251732053500286
omegafold,3,0.042178978871926086,0.02558293950473085,0.6065329268025169,0.29811686468027443,0.0133332404920964,0.044724878300313825,0.1016237989687022,0.042099313404070596,0.41426628241910357,0.4419196425209071,0.054389845582130655,0.12307632507997761,68.4693366955364,12.31032189849606,0.17979321098489018,5036.804699835116,368.55380982949885,0.07317214619053301
chai1,3,0.047383136788721004,0.026577959203532363,0.560915992582807,0.2744747474746759,0.023297446678381805,0.084880109710389,0.11575542090411355,0.03981162050973973,0.34392877844328207,0.43761330516751523,0.04309695308064805,0.09848181618735483,63.52683788500403,12.277129436657365,0.1932589413450952,5944.961226541316,1093.591999853996,0.1839527556498851
openfold,3,0.02615781299232306,0.01560352044124088,0.5965147180240293,0.1799823059635456,0.008159466764404634,0.04533482733606762,0.0627504090828042,0.025985271379384906,0.41410521077392903,0.2688905280386771,0.036300064188441304,0.13499941575933802,68.00250499794005,12.17028388390504,0.17896817013246358,3099.755219373115,209.71073129207812,0.06765396505550184
boltz2,3,0.025017903852187596,0.015200884748882385,0.6076002545494315,0.10349799132984096,0.014909051164174928,0.14405159919153224,0.0594303559198777,0.026472939473713868,0.4454447405531935,0.18794625110191066,0.05564988056741033,0.2960946560047911,57.31626937790919,11.687914766990135,0.20391967052019763,2884.1008684463645,37.71409270584188,0.013076551211663437
protenix,3,0.03615832047580437,0.02319128390052763,0.641381668046398,0.09862560093891716,0.0105933388690748,0.10740962557617961,0.08622877958193116,0.04045579227767523,0.46916809531365034,0.2210127009966568,0.05964221257870062,0.2698587561246212,47.68504161569922,17.792362186631244,0.37312250516676726,4145.4537024057545,93.89378164942502,0.02264982035499157
esmfold,3,0.022941534933977766,0.012354758557446435,0.5385323428881957,0.0892517045837981,0.018221459925034638,0.2041581167553677,0.054719872407455766,0.02041847947774462,0.3731455973746484,0.16691311192523597,0.014573856182517372,0.08731402832537997,54.430472669534105,16.490657109238576,0.3029673692043602,2751.6647307748594,353.63347069323794,0.12851619121260313
