model,n_reps,reps_present,model_in_all_reps,n_targets,msa_role,total_cost_comparable,mean_total_runtime_sec,std_total_runtime_sec,cv_total_runtime_sec,mean_inference_runtime_sec,std_inference_runtime_sec,cv_inference_runtime_sec,mean_msa_build_runtime_sec,std_msa_build_runtime_sec,cv_msa_build_runtime_sec,mean_total_energy_kwh,std_total_energy_kwh,cv_total_energy_kwh,mean_inference_energy_kwh,std_inference_energy_kwh,cv_inference_energy_kwh,mean_total_co2_g,std_total_co2_g,cv_total_co2_g,mean_inference_co2_g,std_inference_co2_g,cv_inference_co2_g,mean_per_target_total_runtime_sec,std_per_target_total_runtime_sec,cv_per_target_total_runtime_sec,mean_per_target_total_co2_g,std_per_target_total_co2_g,cv_per_target_total_co2_g
colabfold,3,rep1|rep2|rep3,True,45,builder,True,30109.0,637.6699773393758,0.02117871657442545,6519.666666666667,149.81432953270303,0.022978832690736185,23589.333333333332,613.473987495259,0.026006414798860747,0.8266447121941477,0.23652679625648862,0.2861287234617154,0.2522211303123816,0.05997261553327334,0.2377779191576689,392.6562382922212,112.35022822183208,0.28612872346171464,119.80503689838224,28.486992378304773,0.2377779191576664,669.088888888889,14.170443940875037,0.021178716574425473,8.725694184271582,2.4966717382629353,0.28612872346171464
af2,3,rep1|rep2|rep3,True,45,reuser,False,30087.582803666664,41348.184843338844,1.3742607743916169,6288.505932666667,127.1395333727942,0.020217764717744356,23799.076871,41221.210313809344,1.7320508075688774,1.7721811788810988,2.2994992547073956,1.2975531407907341,0.4576958448455361,0.02798918508477402,0.06115236876187909,841.7860599685229,1092.2621459860131,1.297553140790733,217.40552630163066,13.29486291526754,0.061152368761878254,668.6129511925925,918.8485520741965,1.3742607743916169,18.7063568881894,24.272492133022507,1.2975531407907324
protenix,3,rep1|rep2|rep3,True,45,reuser,True,27808.360663132684,666.1754324065355,0.023955940462528837,4219.027329799353,94.23132450864756,0.02233484572216056,23589.333333333332,613.473987495259,0.026006414798860747,0.795436282878423,0.1195506896603305,0.15029574616299343,0.2210127009966568,0.05964221257870062,0.2698587561246212,377.83223436725206,56.78657758865699,0.150295746162993,104.98103297341306,28.330050974882813,0.2698587561246185,617.9635702918375,14.803898497923033,0.023955940462528868,8.396271874827823,1.2619239464145995,0.15029574616299296
openfold,3,rep1|rep2|rep3,True,45,reuser,True,26763.66866466681,615.4606864922728,0.022996125613556084,3174.335331333476,208.58372903765334,0.06570941859190138,23589.333333333332,613.473987495259,0.026006414798860747,0.8433141099204432,0.14155167876935215,0.16785166654297518,0.2688905280386771,0.036300064188441304,0.13499941575933802,400.57420221221156,67.23704741544235,0.16785166654297493,127.72300081837257,17.242530489509583,0.13499941575933672,594.7481925481512,13.676904144272745,0.022996125613556115,8.901648938049146,1.4941566092320522,0.16785166654297493
boltz2,3,rep1|rep2|rep3,True,45,reuser,True,26554.894528939138,613.9459620187432,0.023119879514101396,2965.5611956058005,32.919465655838266,0.011100585516365825,23589.333333333332,613.473987495259,0.026006414798860747,0.7623698329836768,0.12224497180593409,0.16034864775210944,0.18794625110191066,0.05564988056741033,0.2960946560047911,362.1256706672477,58.06636160781872,0.16034864775210897,89.27446927340867,26.433693269519868,0.296094656004787,590.1087673097585,13.643243600416513,0.023119879514101396,8.047237125938837,1.2903635912848601,0.16034864775210894
chai1,3,rep1|rep2|rep3,True,45,none,True,6019.096623408543,1095.0110361155496,0.18192282075303484,6019.096623408543,1095.0110361155496,0.18192282075303484,0.0,0.0,,0.43761330516751523,0.04309695308064805,0.09848181618735483,0.43761330516751523,0.04309695308064805,0.09848181618735483,207.8663199545707,20.471052713307856,0.09848181618735452,207.8663199545707,20.471052713307856,0.09848181618735452,133.75770274241208,24.33357858034555,0.18192282075303484,4.6192515545460155,0.45491228251795257,0.09848181618735458
omegafold,3,rep1|rep2|rep3,True,45,none,True,5109.861028867079,368.2865812955372,0.07207369813288073,5109.861028867079,368.2865812955372,0.07207369813288073,0.0,0.0,,0.4419196425209071,0.054389845582130655,0.12307632507997761,0.4419196425209071,0.054389845582130655,0.12307632507997761,209.91183019743195,25.835176651512164,0.12307632507997746,209.91183019743195,25.835176651512164,0.12307632507997746,113.5524673081573,8.184146251011937,0.07207369813288073,4.66470733772071,0.5741150367002702,0.12307632507997744
esmfold,3,rep1|rep2|rep3,True,45,none,True,2825.6259690466263,354.9497996025941,0.12561811205407172,2825.6259690466263,354.9497996025941,0.12561811205407172,0.0,0.0,,0.16691311192523597,0.014573856182517372,0.08731402832537997,0.16691311192523597,0.014573856182517372,0.08731402832537997,79.28372816448815,6.922581686695682,0.08731402832537792,79.28372816448815,6.922581686695682,0.08731402832537792,62.79168820103613,7.887773324502089,0.12561811205407172,1.7618606258775145,0.15383514859323733,0.0873140283253779
