target_id,pdb_id,chain_id,model,rank,output_pdb,success,return_code,inference_time_sec,inference_time_sec_per_prediction,prediction_count,trials_run,max_trials,successful_trial,command,error_message,msa_used,msa_source,msa_mode,msa_database,msa_database_path,msa_generation_included_in_timing,msa_generation_included_in_carbon,msa_reused,shared_msa_metadata_file,shared_msa_dir,shared_msa_a3m_file,msa_generation_time_sec,msa_notes,msa_feature_runtime_sec,msa_feature_carbon_emissions_g,msa_feature_energy_consumed_kwh,af2_inference_runtime_sec,af2_inference_carbon_emissions_g,af2_inference_energy_consumed_kwh,total_runtime_sec,total_carbon_emissions_g,total_energy_consumed_kwh,af2_db_preset,af2_model_preset,af2_params_dir,af2_data_dir,af2_features_dir,carbon_tracking_enabled,carbon_method,carbon_country_iso_code,carbon_region,carbon_intensity_mode,carbon_intensity_g_per_kwh,carbon_intensity_source,carbon_emissions_kg,carbon_emissions_g,carbon_energy_consumed_kwh,carbon_cpu_power_w,carbon_gpu_power_w,carbon_ram_power_w,carbon_cpu_energy_kwh,carbon_gpu_energy_kwh,carbon_ram_energy_kwh,carbon_duration_sec,carbon_output_file,carbon_error
T1104,7ROA,A,colabfold,1,results/t1104_shared_msa_smoke1/predictions/T1104/colabfold/rank_001.pdb,true,0,107.999184,107.999184,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_colabfold_shared_msa.sh results/t1104_shared_msa_smoke1/sequences/T1104.fasta results/t1104_shared_msa_smoke1/predictions/T1104/colabfold 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_casp15_smoke2/msa/msa_metadata_smoke1.csv,results/shared_msa_casp15_smoke2/msa/T1104,results/shared_msa_casp15_smoke2/msa/T1104/T1104.a3m,,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,,,,,,,,,,,,,,,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.0021141277469338463,2.114127746933846,0.004450795256702834,35.54897165806249,95.47506002780358,70.0,0.0005312746838805607,0.002858803675930055,0.0010607168968922152,109.52093063900247,results/t1104_shared_msa_smoke1/carbon/T1104_colabfold_emissions.csv,
T1104,7ROA,A,openfold,,,false,1,8.592175,,0,1,1,,env CUDA_VISIBLE_DEVICES=0 OPENFOLD_DEVICE=cuda:0 bash runners/run_openfold_shared_msa.sh results/t1104_shared_msa_smoke1/sequences/T1104.fasta results/t1104_shared_msa_smoke1/predictions/T1104/openfold 1,exit code 1; see results/t1104_shared_msa_smoke1/logs/20260603_T1104_openfold.log,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_casp15_smoke2/msa/msa_metadata_smoke1.csv,results/shared_msa_casp15_smoke2/msa/T1104,results/shared_msa_casp15_smoke2/msa/T1104/T1104.a3m,,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,,,,,,,,,,,,,,,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.0001563181465403921,0.15631814654039208,0.00032909083482187806,21.307709084749998,75.54666975703373,70.0,3.207172014524856e-05,0.0001895268182883214,0.00010749229638830811,10.111002409947105,results/t1104_shared_msa_smoke1/carbon/T1104_openfold_emissions.csv,
T1104,7ROA,A,protenix,1,results/t1104_shared_msa_smoke1/predictions/T1104/protenix/rank_001.pdb,true,0,78.671867,78.671867,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_protenix_shared_msa.sh results/t1104_shared_msa_smoke1/sequences/T1104.fasta results/t1104_shared_msa_smoke1/predictions/T1104/protenix 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_casp15_smoke2/msa/msa_metadata_smoke1.csv,results/shared_msa_casp15_smoke2/msa/T1104,results/shared_msa_casp15_smoke2/msa/T1104/T1104.a3m,,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,,,,,,,,,,,,,,,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.0011988624226498138,1.1988624226498137,0.0025239208897890816,16.71895588107912,71.42880138301167,70.0,0.00018561900172013883,0.0015613298601730996,0.0007769720278958426,80.19038541498594,results/t1104_shared_msa_smoke1/carbon/T1104_protenix_emissions.csv,
