target_id,model,prediction,match_mode,n_ref_ca,n_pred_ca,n_aligned_ca,missing_ref_resseq,missing_pred_resseq,ca_rmsd,z_rmsd,lddt_ca,lddt_ca_n_pairs,lddt_ca_cutoff,lddt_ca_f_0p5,lddt_ca_f_1p0,lddt_ca_f_2p0,lddt_ca_f_4p0,lddt_ca_error,gdt_ts,gdt_ts_percent,gdt_p1,gdt_p2,gdt_p4,gdt_p8,gdt_ts_method,gdt_ts_error,tmalign_available,tmalign_bin,tmalign_rmsd,tmalign_tm_score_ref,tmalign_tm_score_pred,tmalign_aligned_length,tmalign_seq_id,tmalign_error,error
T1112,boltz2,rank_001.pdb,sequential,448,460,448,,449;450;451;452;453;454;455;456;457;458;459;460,13.845732007593384,-0.5282933218882109,0.2885353578435554,11723,15.0,0.11882623901731638,0.2024225880747249,0.32397850379595666,0.5089141004862237,,0.415,41.5,0.1209,0.2541,0.4713,0.8135,external_tmscore,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,4.44,0.71219,0.7487,437,0.67,,
T1112,boltz,rank_001.pdb,sequential,448,460,448,,449;450;451;452;453;454;455;456;457;458;459;460,14.635996037360485,-0.38128022190143473,0.28763968267508316,11723,15.0,0.12471210441013393,0.20284910005971168,0.3219312462680201,0.501066279962467,,0.3371,33.71,0.1332,0.2336,0.3525,0.6291,external_tmscore,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,5.08,0.61331,0.6439,396,0.543,,
T1112,omegafold,rank_001.pdb,sequential,448,460,448,,448;449;450;451;452;453;454;455;456;457;458;459,13.533583867308716,-0.5863623520222033,0.28593363473513606,11723,15.0,0.13767806875373198,0.20506696238164293,0.3162159856691973,0.484773522135972,,0.3519,35.19,0.0369,0.0758,0.3996,0.8955,external_tmscore,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,2.79,0.84035,0.88782,452,0.892,,
T1112,esmfold,rank_001.pdb,sequential,448,460,448,,449;450;451;452;453;454;455;456;457;458;459;460,13.584416607080327,-0.5769059192691549,0.28260684125223917,11723,15.0,0.13315704171287213,0.19969291137080952,0.31220677301032157,0.4853706389149535,,0.6071,60.709999999999994,0.3197,0.4918,0.7275,0.8893,external_tmscore,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,3.21,0.8147,0.8598,452,0.81,,
T1112,af2,rank_001.pdb,sequential,448,460,448,,449;450;451;452;453;454;455;456;457;458;459;460,13.52768299059217,-0.5874600942274188,0.28241491085899517,11723,15.0,0.13290113452188007,0.19883988740083597,0.31229207540731896,0.4856265461059456,,0.709,70.89999999999999,0.4734,0.6516,0.8053,0.9057,external_tmscore,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,2.82,0.83876,0.88624,452,0.863,,
T1112,chai1,rank_001.pdb,sequential,448,460,448,,449;450;451;452;453;454;455;456;457;458;459;460,13.614218173043623,-0.571361923298573,0.2811353749040348,11723,15.0,0.13230401774289857,0.1981574682248571,0.31033012027637974,0.48374989337200375,,0.6127,61.27,0.332,0.4611,0.7623,0.8955,external_tmscore,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,3.08,0.81922,0.86455,452,0.843,,
T1112,colabfold,rank_001.pdb,sequential,448,460,448,,449;450;451;452;453;454;455;456;457;458;459;460,25.65332180105971,1.6682768287502796,0.20570673035912307,11723,15.0,0.10543376268873156,0.15618868890215815,0.22869572634991042,0.3325087434956922,,0.1081,10.81,0.043,0.0553,0.1209,0.2131,external_tmscore,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,6.97,0.28445,0.29734,218,0.261,,
T1112,openfold,rank_001.pdb,sequential,448,460,448,,449;450;451;452;453;454;455;456;457;458;459;460,25.08949003566325,1.5633870038567195,0.1965580482811567,11723,15.0,0.1009127356478717,0.14799965879041202,0.2176064147402542,0.3197133839460889,,0.085,8.5,0.043,0.0533,0.082,0.1619,external_tmscore,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,7.36,0.23912,0.2495,193,0.104,,
